conversation_key,conversation_label,story_group,chapter_code,chapter_label,family,family_display,category,subcategory,line_count,non_empty_line_count,scene_count,speaker_keys,speaker_labels
node_her_bluemontmanor_0700,her_bluemontmanor_0700,Node Scene,0700,Node Scene 0700,node,Node,Quest Scene,Node Scene,13,10,1,NPC 00,NPC 00
node_her_hernandcastle_daily_0700,her_hernandcastle_daily_0700,Node Scene,0700,Node Scene 0700,node,Node,Quest Scene,Node Scene,14,14,2,Enemy 00; NPC 00,Enemy 00; NPC 00
node_her_lioncrestmanorcontact_0700,her_lioncrestmanorcontact_0700,Node Scene,0700,Node Scene 0700,node,Node,Quest Scene,Node Scene,8,8,2,NPC 00; Player,NPC 00; Player
node_del_delesyiacastle_daily_0800,del_delesyiacastle_daily_0800,Node Scene,0800,Node Scene 0800,node,Node,Quest Scene,Node Scene,4,4,1,NPC 00,NPC 00
node_del_redfoxtradepost_questioning_0800,del_redfoxtradepost_questioning_0800,Node Scene,0800,Node Scene 0800,node,Node,Quest Scene,Node Scene,29,29,1,NPC 00,NPC 00
node_her_bluemontmanor_0800,her_bluemontmanor_0800,Node Scene,0800,Node Scene 0800,node,Node,Quest Scene,Node Scene,6,6,1,NPC 00,NPC 00
node_her_hernandcastle_daily_0800,her_hernandcastle_daily_0800,Node Scene,0800,Node Scene 0800,node,Node,Quest Scene,Node Scene,11,11,1,NPC 00,NPC 00
node_her_lioncrestmanorcontact_0800,her_lioncrestmanorcontact_0800,Node Scene,0800,Node Scene 0800,node,Node,Quest Scene,Node Scene,7,6,1,NPC 00,NPC 00
node_crim_varnia_daily_0900,crim_varnia_daily_0900,Node Scene,0900,Node Scene 0900,node,Node,Quest Scene,Node Scene,7,7,1,NPC 00,NPC 00
node_del_delesyiacastle_daily_0900,del_delesyiacastle_daily_0900,Node Scene,0900,Node Scene 0900,node,Node,Quest Scene,Node Scene,17,17,1,NPC 00,NPC 00
node_del_redfoxtradepost_questioning_0900,del_redfoxtradepost_questioning_0900,Node Scene,0900,Node Scene 0900,node,Node,Quest Scene,Node Scene,16,13,4,NPC 00; NPC 01; NPC 02; Player,NPC 00; NPC 01; NPC 02; Player
node_dem_demenisscastle_daily_0900,dem_demenisscastle_daily_0900,Node Scene,0900,Node Scene 0900,node,Node,Quest Scene,Node Scene,4,4,1,NPC 00,NPC 00
node_her_lioncrestmanorcontact_0900,her_lioncrestmanorcontact_0900,Node Scene,0900,Node Scene 0900,node,Node,Quest Scene,Node Scene,10,10,2,NPC 00; Player,NPC 00; Player
node_kwe_pailune_daily_0900,kwe_pailune_daily_0900,Node Scene,0900,Node Scene 0900,node,Node,Quest Scene,Node Scene,17,17,3,Enemy 00; NPC 00; Player,Enemy 00; NPC 00; Player
node_calphadecastle_misappropriation_1000,calphadecastle_misappropriation_1000,Node Scene,1000,Node Scene 1000,node,Node,Quest Scene,Node Scene,15,15,2,NPC 00; Player,NPC 00; Player
node_crim_tashkalp_1000,crim_tashkalp_1000,Node Scene,1000,Node Scene 1000,node,Node,Quest Scene,Node Scene,15,15,2,NPC 00; Player,NPC 00; Player
node_crim_varnia_daily_1000,crim_varnia_daily_1000,Node Scene,1000,Node Scene 1000,node,Node,Quest Scene,Node Scene,19,19,1,NPC 00,NPC 00
node_her_halsiushospital_1000,her_halsiushospital_1000,Node Scene,1000,Node Scene 1000,node,Node,Quest Scene,Node Scene,7,7,1,NPC 00,NPC 00
node_her_hernandcastle_daily_1000,her_hernandcastle_daily_1000,Node Scene,1000,Node Scene 1000,node,Node,Quest Scene,Node Scene,15,15,3,Enemy 00; NPC 00; Player,Enemy 00; NPC 00; Player
node_her_pororinvillage_bell_1000,her_pororinvillage_bell_1000,Node Scene,1000,Node Scene 1000,node,Node,Quest Scene,Node Scene,6,6,1,NPC 00,NPC 00
node_kwe_pailune_daily_1000,kwe_pailune_daily_1000,Node Scene,1000,Node Scene 1000,node,Node,Quest Scene,Node Scene,20,20,3,Global Game Track; NPC 00; Player,Global Game Track; NPC 00; Player
node_calphadecastle_misappropriation_1100,calphadecastle_misappropriation_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,9,9,2,NPC 00; Player,NPC 00; Player
node_crim_tashkalp_1100,crim_tashkalp_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,13,11,2,NPC 00; Player,NPC 00; Player
node_crim_varnia_daily_1100,crim_varnia_daily_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,13,13,2,Enemy 01; NPC 00,Enemy 01; NPC 00
node_dem_demenisscastle_daily_1100,dem_demenisscastle_daily_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,19,19,2,Global Game Track; NPC 00,Global Game Track; NPC 00
node_dewhavencastle_disappeared_1100,dewhavencastle_disappeared_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,17,17,3,NPC 00; NPC 01; Player,NPC 00; NPC 01; Player
node_her_greystonemanor_1100,her_greystonemanor_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,8,8,1,NPC 00,NPC 00
node_her_halsiushospital_1100,her_halsiushospital_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,4,4,1,NPC 00,NPC 00
node_her_hernandcastle_daily_1100,her_hernandcastle_daily_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,10,10,1,NPC 00,NPC 00
node_her_lioncrestmanorcontact_1100,her_lioncrestmanorcontact_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,4,4,2,NPC 00; NPC 01,NPC 00; NPC 01
node_her_pororinvillage_bell_1100,her_pororinvillage_bell_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,6,6,1,NPC 00,NPC 00
node_kwe_longleaftreevillage_1100,kwe_longleaftreevillage_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,5,5,2,NPC 00; Player,NPC 00; Player
node_kwe_pailune_daily_1100,kwe_pailune_daily_1100,Node Scene,1100,Node Scene 1100,node,Node,Quest Scene,Node Scene,19,19,1,NPC 00,NPC 00
