source,item_id,loc_key,internal_name,variant_base_name,variant_level,top_category,category,subcategory,subsubcategory,raw_type,classification_source,classification_confidence,pac_files,prefab_hashes
iteminfo,29819,128071629799536,Food_Crucian_Carp,Food_Crucian_Carp,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_cruciancarp_00_0001.pac,1249784529
iteminfo,29617,127204046405744,Food_Cuvier,Food_Cuvier,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_sawedgedperch_00_0001.pac,4108693330
iteminfo,29601,127135326929008,Food_Dover_Sole,Food_Dover_Sole,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_sole_00_0001.pac,3905475387
iteminfo,29814,128050154963056,Food_Eel,Food_Eel,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_eel_00_0001.pac,98894624
iteminfo,29505,126723010068592,Food_GiantMudfish,Food_GiantMudfish,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_giantmudfish_00_0001.pac,3032067407
iteminfo,29503,126714420134000,Food_GiantRedSeaBream,Food_GiantRedSeaBream,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_pagrusmajor_00_0001.pac,599971344
iteminfo,29509,126740189937776,Food_GoldCarp,Food_GoldCarp,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_goldencarp_00_0001.pac,3247412587
iteminfo,1001293,4300520688713840,Food_Golden_Coelacanth,Food_Golden_Coelacanth,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_coelacanth_00_0001.pac,224334843
iteminfo,29507,126731600003184,Food_GoldTenchi,Food_GoldTenchi,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_goldentench_00_0001.pac,3268906367
iteminfo,1001952,4303351072161904,Food_HexeFish,Food_HexeFish,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_hexefish_00_0001.pac,976930286
iteminfo,29812,128041565028464,Food_Lenok,Food_Lenok,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_lenok_00_0001.pac,524654835
iteminfo,29511,126748779872368,Food_LightCrotch,Food_LightCrotch,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_footballfish_00_0001.pac,1203926843
iteminfo,29513,126757369806960,Food_LightningEel,Food_LightningEel,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_electric_eel_00_0001.pac,3711936223
iteminfo,29609,127169686667376,Food_Mackerel,Food_Mackerel,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_mackerel_00_0001.pac,2642916460
iteminfo,29612,127182571569264,Food_Marlin,Food_Marlin,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_stripedmarlin_00_0001.pac,1381391366
iteminfo,29820,128075924766832,Food_MechanicFish,Food_MechanicFish,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_ironfish_00_0001.pac,986476260
iteminfo,29810,128032975093872,Food_Mudfish,Food_Mudfish,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_loach_00_0001.pac,571791417
iteminfo,29815,128054449930352,Food_Perch,Food_Perch,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_perch_00_0001.pac,3260202368
iteminfo,29806,128015795224688,Food_Pikefish,Food_Pikefish,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_pikefish_00_0001.pac,2637355055
iteminfo,29602,127139621896304,Food_Red_Seabream,Food_Red_Seabream,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_pagrusmajor_00_0001.pac,599971344
iteminfo,29607,127161096732784,Food_Red_Snapper,Food_Red_Snapper,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_opaleye_00_0001.pac,344753888
iteminfo,29504,126718715101296,Food_RedSnapper,Food_RedSnapper,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_redopaleye_00_0001.pac,664848861
iteminfo,1001241,4300297350414448,Food_Ricefish,Food_Ricefish,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_ricefish_00_0001.pac,1692474044
iteminfo,29608,127165391700080,Food_Rock_Bream,Food_Rock_Bream,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_rockbream_00_0001.pac,654690992
iteminfo,29506,126727305035888,Food_Sailfish,Food_Sailfish,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_sailfish_00_0001.pac,1634755567
iteminfo,29603,127143916863600,Food_Salmon,Food_Salmon,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_salmon_00_0001.pac,2836901673
iteminfo,29804,128007205290096,Food_Sammy,Food_Sammy,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_minnow_00_0004.pac,3971859276
iteminfo,29803,128002910322800,Food_Schneider,Food_Schneider,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_minnow_00_0003.pac,2912217547
iteminfo,29502,126710125166704,Food_SevenStarShark,Food_SevenStarShark,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_sevengill_00_0001.pac,659766767
iteminfo,29501,126705830199408,Food_SpatulaSturgeon,Food_SpatulaSturgeon,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_paddlefish_00_0001.pac,3323754184
iteminfo,29818,128067334832240,Food_Ssogari,Food_Ssogari,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_leopardmandarinfish_00_0001.pac,3215488368
iteminfo,29604,127148211830896,Food_Sturgeon,Food_Sturgeon,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_sturgeon_00_0001.pac,1240575775
iteminfo,29809,128028680126576,Food_Tenchi,Food_Tenchi,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_tench_00_0001.pac,1605628457
iteminfo,29807,128020090191984,Food_Trout,Food_Trout,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0009_00_trout_00_0001.pac,830435782
iteminfo,1000088,4295345253122160,ItemCatch_FishingRod,ItemCatch_FishingRod,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_t0000_fishingrod_0003.pac,3107823286
iteminfo,1000140,4295568591421552,Sir_Catfish_Plate_Boots,Sir_Catfish_Plate_Boots,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0001_00_sir_catfish_foot_00_0001.pac,2597731656
iteminfo,1000041,4295143389659248,Sir_Catfish_PlateArmor_Armor,Sir_Catfish_PlateArmor_Armor,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0001_00_sir_catfish_ub_00_0001.pac,3621544296
iteminfo,1000139,4295564296454256,Sir_Catfish_PlateArmor_Gloves,Sir_Catfish_PlateArmor_Gloves,,Consumable,Food,Fish,Fish,Unknown,name-pattern,medium,cd_m0001_00_sir_catfish_hand_00_0001.pac,3904393226
iteminfo,1000875,4298725392384112,Food_BlueCrab,Food_BlueCrab,,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,cd_m0009_00_swimmingcrab_00_0001.pac,2351655887
iteminfo,1001242,4300301645381744,Food_river_Crab,Food_river_Crab,,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,cd_m0009_00_rivercrab_00_0001.pac,1039723078
iteminfo,29613,127186866536560,Food_Seahorse,Food_Seahorse,,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,cd_m0009_00_seahorse_00_0001.pac,1478552131
iteminfo,1000754,4298205701341296,Food_Shrimp,Food_Shrimp,,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,cd_m0009_00_shrimp_00_0001.pac,1423129684
iteminfo,29616,127199751438448,Food_Squid,Food_Squid,,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,cd_m0009_00_squid_00_0001.pac,2934376577
iteminfo,29615,127195456471152,Food_Starfish,Food_Starfish,,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,cd_m0009_00_starfish_00_0001.pac,1416913753
iteminfo,15703,67443871449200,Legendary_OwenCraber_TwoHandGiantSpear,Legendary_OwenCraber_TwoHandGiantSpear,,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,cd_phm_02_spear_0119.pac,569917109
multichange,,5405496545682391248,Legendary_OwenCraber_TwoHandGiantSpear_0.am,Legendary_OwenCraber_TwoHandGiantSpear,0,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,8770215041090715856,Legendary_OwenCraber_TwoHandGiantSpear_1.am,Legendary_OwenCraber_TwoHandGiantSpear,1,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,1685999221750104272,Legendary_OwenCraber_TwoHandGiantSpear_10.am,Legendary_OwenCraber_TwoHandGiantSpear,10,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,13430004061873111248,Legendary_OwenCraber_TwoHandGiantSpear_11.am,Legendary_OwenCraber_TwoHandGiantSpear,11,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,2152097147250540752,Legendary_OwenCraber_TwoHandGiantSpear_12.am,Legendary_OwenCraber_TwoHandGiantSpear,12,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,5680566158491648208,Legendary_OwenCraber_TwoHandGiantSpear_13.am,Legendary_OwenCraber_TwoHandGiantSpear,13,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,16670478615221108944,Legendary_OwenCraber_TwoHandGiantSpear_2.am,Legendary_OwenCraber_TwoHandGiantSpear,2,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,13803280163489710288,Legendary_OwenCraber_TwoHandGiantSpear_3.am,Legendary_OwenCraber_TwoHandGiantSpear,3,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,3590825193280372944,Legendary_OwenCraber_TwoHandGiantSpear_4.am,Legendary_OwenCraber_TwoHandGiantSpear,4,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,15670491812168990928,Legendary_OwenCraber_TwoHandGiantSpear_5.am,Legendary_OwenCraber_TwoHandGiantSpear,5,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,10022301439277138128,Legendary_OwenCraber_TwoHandGiantSpear_6.am,Legendary_OwenCraber_TwoHandGiantSpear,6,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,35820877652164816,Legendary_OwenCraber_TwoHandGiantSpear_7.am,Legendary_OwenCraber_TwoHandGiantSpear,7,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,11933028107461591248,Legendary_OwenCraber_TwoHandGiantSpear_8.am,Legendary_OwenCraber_TwoHandGiantSpear,8,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
multichange,,7141691690170974416,Legendary_OwenCraber_TwoHandGiantSpear_9.am,Legendary_OwenCraber_TwoHandGiantSpear,9,Consumable,Food,Seafood,Seafood,Unknown,name-pattern,medium,,
iteminfo,1000857,4298648082972784,BeggarLeader_FindPotion,BeggarLeader_FindPotion,,Consumable,Potion,Potion,Potion,Unknown,name-pattern,medium,cd_t0000_alchemy_bottle_0001.pac,292929076
iteminfo,800047,3436175700263024,Goat_Horn_Potion,Goat_Horn_Potion,,Consumable,Potion,Potion,Potion,Unknown,name-pattern,medium,cd_t0000_potion_0002.pac,4067022726
iteminfo,1000443,4296869966512240,Bleed_Bomb_BackPack,Bleed_Bomb_BackPack,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_phm_00_bag_0055.pac;cd_phm_00_bag_belt_0060.pac,2127255993;3088580745
iteminfo,1001841,4302874330792048,Brimstone_Bomb,Brimstone_Bomb,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_phm_10_bomb_0011.pac,2867002689
iteminfo,1000880,4298746867220592,Caltrop_Bomb,Caltrop_Bomb,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_phm_10_bomb_0006.pac,40553047
iteminfo,1001815,4302762661642352,Crow_Bomb,Crow_Bomb,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_phm_10_bomb_0006.pac,40553047
iteminfo,1001845,4302891510661232,Dart,Dart,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_t0254_dropitem_bullet_0001.pac,4016417229
iteminfo,2113165,9075974566051952,Dartus_Leather_Armor,Dartus_Leather_Armor,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_m0001_00_so_phm_ub_22071.pac,912984598
iteminfo,1001805,4302719711969392,Fire_Bomb,Fire_Bomb,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_phm_10_bomb_0007.pac,391204462
iteminfo,1000123,4295495576977520,InstallationBomb,InstallationBomb,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,,
iteminfo,1001819,4302779841511536,Pervin_Bomb,Pervin_Bomb,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_phm_10_bomb_0003.pac,1185706437
iteminfo,1000877,4298733982318704,Smoke_Bomb,Smoke_Bomb,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_phm_10_bomb_0006.pac,40553047
iteminfo,1001934,4303273762750576,Trap_Bomb,Trap_Bomb,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_phm_10_bomb_0001.pac,1404640056
iteminfo,1001844,4302887215693936,Vine_Bomb,Vine_Bomb,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_phm_10_bomb_0006.pac,40553047
iteminfo,1001842,4302878625759344,Water_Bomb,Water_Bomb,,Consumable,Throwable,Bomb / Dart,Bomb / Dart,Unknown,name-pattern,medium,cd_phm_10_bomb_0006.pac,40553047
iteminfo,75000,322122547200112,First_Artifact,First_Artifact,,Document & Quest,Artifact,Artifact,Artifact,Unknown,name-pattern,medium,cd_t0000_abyss_artifact_a_0001.pac,3033246514
iteminfo,1002519,4305786318618736,Item_Abyss_Artifact_Maker,Item_Abyss_Artifact_Maker,,Document & Quest,Artifact,Artifact,Artifact,Unknown,name-pattern,medium,,
iteminfo,1003650,4310643926630512,Item_gimmick_abyssruins_useartifact_01_attach_part,Item_gimmick_abyssruins_useartifact_01_attach_part,,Document & Quest,Artifact,Artifact,Artifact,Unknown,name-pattern,medium,,
iteminfo,1003909,4311756323160176,Alustin_Journal_Book_I,Alustin_Journal_Book_I,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1003910,4311760618127472,Alustin_Journal_Book_II,Alustin_Journal_Book_II,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1003911,4311764913094768,Alustin_Journal_Book_III,Alustin_Journal_Book_III,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1003912,4311769208062064,Alustin_Journal_Book_IV,Alustin_Journal_Book_IV,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1003913,4311773503029360,Alustin_Journal_Book_V,Alustin_Journal_Book_V,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1003914,4311777797996656,Alustin_Journal_Book_VI,Alustin_Journal_Book_VI,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000774,4298291600687216,Anamorphic_Book,Anamorphic_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000580,4297458377031792,Blank_Book,Blank_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1002707,4306593772470384,BloodyFarmhouse_Book,BloodyFarmhouse_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1002610,4306177160642672,BoneCollectorWagon_Book,BoneCollectorWagon_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000537,4297273693438064,Book_Battle_ATT_Alfonso,Book_Battle_ATT_Alfonso,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000534,4297260808536176,Book_Battle_DEF_Alfonso,Book_Battle_DEF_Alfonso,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000539,4297282283372656,Book_Battle_EXP_Alfonso,Book_Battle_EXP_Alfonso,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1002518,4305782023651440,Book_DrugFactory,Book_DrugFactory,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000838,4298566478594160,Book_FruitofGreed,Book_FruitofGreed,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1003249,4308921644744816,Book_GoldleafGuildhouse_Clue,Book_GoldleafGuildhouse_Clue,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1003250,4308925939712112,Book_GoldleafGuildhouse_Clue_I,Book_GoldleafGuildhouse_Clue_I,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1001002,4299270853230704,Book_Hernand_story,Book_Hernand_story,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000625,4297651650560112,Book_HyperSpace,Book_HyperSpace,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000061,4295229289005168,Book_Investigation_GoldleafGuildhouse,Book_Investigation_GoldleafGuildhouse,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000958,4299081874669680,Book_Investigation_Log,Book_Investigation_Log,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000816,4298471989313648,Book_Misappropriation_Log,Book_Misappropriation_Log,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000488,4297063240040560,Book_RedfoxTradePost_Questioning,Book_RedfoxTradePost_Questioning,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1001162,4299958047998064,Book_ScholarLibrary_Knowledge_Knowledge_PlateArmor_Helm,Book_ScholarLibrary_Knowledge_Knowledge_PlateArmor_Helm,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000611,4297591521017968,Book_TruthontheSand,Book_TruthontheSand,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000815,4298467694346352,Book_WeightOfKnowledge,Book_WeightOfKnowledge,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1002387,4305219382935664,CabinDeathMystery_Book,CabinDeathMystery_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1002727,4306679671816304,Criminal_Urga_Book,Criminal_Urga_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1002549,4305915167637616,EngineerWorkLog_Book,EngineerWorkLog_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000298,4296247196254320,Friendly_Legendary_Animal_Book,Friendly_Legendary_Animal_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1002609,4306172865675376,GiantBallista_Book,GiantBallista_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1002615,4306198635479152,IceStrandedShip_Book,IceStrandedShip_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1002559,4305958117310576,JijeongTempleShipLog_Book,JijeongTempleShipLog_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000563,4297385362587760,PororinChildrenForest_Book,PororinChildrenForest_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1000626,4297655945527408,StoreWitchHint_Book,StoreWitchHint_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1002608,4306168570708080,ValleyRockWatchTower_Book,ValleyRockWatchTower_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,1002611,4306181455609968,WindmillCoastShipWreck_Book,WindmillCoastShipWreck_Book,,Document & Quest,Book,Book,Book,Unknown,name-pattern,medium,,
iteminfo,800174,3436721161109616,Anvil_Fort_Secret_Document,Anvil_Fort_Secret_Document,,Document & Quest,Document,Document,Document,Unknown,name-pattern,medium,cd_t0000_secret_document_stamp_0001.pac,3802656931
iteminfo,802261,3445684757856368,Alchemist_Key,Alchemist_Key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_t0102_key_0002.pac,4223663216
iteminfo,1002380,4305189318164592,Alchemist_Key_Proto,Alchemist_Key_Proto,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_t0102_key_0003.pac,507825878
iteminfo,1000798,4298394679902320,Del_Prison_Room_Key,Del_Prison_Room_Key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_t0102_key_0001.pac,2092449825
iteminfo,29605,127152506798192,Food_Sockeye_Salmon,Food_Sockeye_Salmon,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_m0009_00_sockeyesalmon_00_0001.pac,79141059
iteminfo,1002985,4307787773378672,FortMoru_Key,FortMoru_Key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_t0000_key_0006.pac,3164076202
iteminfo,1000973,4299146299179120,GantryCrane_Big_Key,GantryCrane_Big_Key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_t0102_key_0001.pac,2092449825
iteminfo,802923,3448528026206320,Goblin_Director_House_Key,Goblin_Director_House_Key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_t0102_key_0001.pac,2092449825
iteminfo,802926,3448540911108208,GraceMansion_MetalDoor_Key,GraceMansion_MetalDoor_Key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_t0102_key_0001.pac,2092449825
iteminfo,802927,3448545206075504,GraceMansion_RoomDoor_Key,GraceMansion_RoomDoor_Key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_t0102_key_0001.pac,2092449825
iteminfo,802353,3446079894847600,Hernand_Winery_Key,Hernand_Winery_Key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_t0102_key_0001.pac,2092449825
iteminfo,1001764,4302543618310256,Installation_01_key,Installation_01_key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,,
iteminfo,1001765,4302547913277552,Installation_02_key,Installation_02_key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,,
iteminfo,1001766,4302552208244848,Installation_03_key,Installation_03_key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,,
iteminfo,1000172,4295706030375024,Item_Common_Buckeye,Item_Common_Buckeye,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_m0006_00_butterfly_00_0001.pac,3040820981
iteminfo,1002524,4305807793455216,MarniTower_Key,MarniTower_Key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,,
iteminfo,1001301,4300555048452208,MastKey_Gloves,MastKey_Gloves,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_phm_00_hand_00_0434.pac,1593236442
iteminfo,1000497,4297101894746224,Neut_Delpheon_EMP_key,Neut_Delpheon_EMP_key,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,,
iteminfo,2111062,9066942249828464,Prinkeypes_PlateArmor_Armor,Prinkeypes_PlateArmor_Armor,,Document & Quest,Key,Key,Key,Unknown,name-pattern,medium,cd_m0001_00_so_phm_ub_22144.pac,1450568411
